Name,Team,Yahoo_Positions_2026,Source_Note
Shohei Ohtani,LAD,"DH,SP",DH only as batter; SP eligibility from 2024 starts
Mookie Betts,LAD,"SS,OF","Played SS full-time 2024-2025, retains OF eligibility"
Cody Bellinger,NYY,"OF,1B","Primary OF, can play 1B"
Jazz Chisholm Jr.,NYY,"2B,3B","Traded to NYY, played 2B/3B 2024"
Bobby Witt Jr.,KCR,SS,Primary SS only
Elly De La Cruz,CIN,SS,"Primary SS, may gain 3B"
Marcus Semien,NYM,2B,Primary 2B
Ha-Seong Kim,ATL,"2B,SS",Multi-position utility
Brendan Donovan,SEA,"2B,SS,LF","Super utility, many positions"
Tommy Edman,LAD,"2B,3B,OF","Acquired by LAD, versatile"
Daulton Varsho,TOR,"OF,C",Catcher eligibility valuable
MJ Melendez,NYM,LF,"Moved to OF, lost C eligibility"
Kyle Schwarber,PHI,"LF,DH",DH only in some leagues
Manny Machado,SDP,3B,Primary 3B
Willy Adames,SFG,SS,Primary SS
Wander Franco,TBR,SS,Restricted list status
Oneil Cruz,PIT,OF,Moved to OF from SS
Nico Hoerner,CHC,2B,Primary 2B
Bryson Stott,PHI,"2B,SS",Multi-eligibility
Gleyber Torres,DET,2B,Primary 2B
Orlando Arcia,ATL,SS,Primary SS
Amed Rosario,LAD,"SS,2B",Multi-eligibility
Maikel Garcia,KCR,"2B,3B,SS,OF",Super utility
Zach Neto,LAA,SS,Primary SS
Gunnar Henderson,BAL,"SS,3B","Primary SS, 3B eligible"
Alex Bregman,CHC,"3B,SS","Primary 3B, SS eligible"
Jose Caballero,NYY,"2B,3B,SS,LF,RF",Super utility
Mauricio Dubon,ATL,"2B,3B,SS,LF,CF",Super utility
Josh Smith,TEX,"1B,3B,SS,LF,RF",Super utility
Jared Triolo,PIT,"1B,2B,3B,SS",Multi-eligibility
Brett Baty,NYM,"2B,3B","Primary 3B, 2B eligible"
Nolan Gorman,STL,"2B,3B,DH",Multi-eligibility
Isaac Paredes,HOU,"3B,1B","Primary 3B, 1B eligible"
Jonathan India,KCR,"2B,3B,LF,DH",Multi-eligibility
Spencer Steer,CIN,"1B,LF","Primary 1B, OF eligible"
Tyler Freeman,COL,"2B,RF,DH",Multi-eligibility
Zach McKinstry,DET,"3B,SS,LF,RF",Multi-eligibility
