﻿"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Kwan, Steven",680757,2026,112,10.7,10.7,".284",".291",34.5,1.1,9.2,"91.214795952","89.809005181",5.7,35.3
"Hicks, Liam",689414,2026,87,5.7,5.7,".386",".361",34.7,5.3,38.7,"98.338952105","93.3169056",5.7,43.6
"Montgomery, Colson",695657,2026,102,31.4,8.8,".372",".324",40.4,15.8,38.6,"100.971387931","94.665060175",36.6,48.1
"Perdomo, Geraldo",672695,2026,99,12.1,14.1,".345",".318",31.5,2.7,26,"96.685565294","92.440108088",11.4,40.4
"Arraez, Luis",650333,2026,101,4,5.9,".315",".302",31.9,0,18.7,"93.482474222","90.794885618",8.6,47.9
"Contreras, Willson",575929,2026,101,27.7,11.9,".364",".381",30.4,14.3,44.6,"104.119012593","96.311638333",36.9,44.7
"Swanson, Dansby",621020,2026,105,22.9,18.1,".327",".347",35.5,12.9,50,"100.638105484","94.802456452",29.6,38.7
"Ramos, Heliot",671218,2026,92,31.5,5.4,".303",".315",37.9,15.5,51.7,"104.329959643","96.891678036",28.5,51.8
"García, Adolis",666969,2026,98,27.6,9.2,".308",".312",36.7,10,50,"101.546051333","95.5187825",29.7,44.6
"Chisholm Jr., Jazz",665862,2026,95,30.5,9.5,".260",".225",21.4,3.6,33.9,"98.059513704","93.078486852",31.2,45
"Alonso, Pete",624413,2026,110,26.4,13.6,".322",".321",30.8,7.7,53.8,"102.064725758","96.339014",28.7,42.2
"Stanton, Giancarlo",519317,2026,93,31.2,6.5,".323",".330",39.7,19,41.4,"104.33465069","96.568429138",38.7,45.5
"Lee, Jung Hoo",808982,2026,96,14.6,7.3,".296",".315",37.3,1.3,37.3,"97.722898158","93.195924133",15.9,42.8
"DeLauter, Chase",800050,2026,94,11.7,12.8,".365",".368",33.8,11.3,40.8,"100.581092778","94.383754366",17.1,40.4
"Buxton, Byron",621439,2026,106,28.3,6.6,".326",".307",34.3,16.4,47.8,"100.691129412","94.742165522",34.5,51.6
"Varsho, Daulton",662139,2026,84,16.7,8.3,".340",".304",33.9,4.8,33.9,"97.042913548","92.551261613",18,55.1
