grouping_venue_conditions,key_is_year_rolling,key_num_years_rolling,key_year,key_bat_side,venue_id,venue_name,main_team_id,name_display_club,n_pa,index_runs,index_hardhit,index_woba,index_wobatto,index_wobacon,index_xwobacon,index_xbacon,index_obp,index_so,index_bb,index_bacon,index_hits,index_1b,index_2b,index_3b,index_hr,year_range
All,1,3,2026,All,3309,Nationals Park,120,Nationals,39467,102,103,101,100,100,102,102,101,94,96,101,103,106,97,98,98,2024-2026
All,1,3,2026,All,680,T-Mobile Park,136,Mariners,39681,85,99,92,95,95,101,101,92,117,96,95,90,90,92,43,96,2024-2026
All,1,3,2026,All,3,Fenway Park,111,Red Sox,40147,104,100,102,98,102,99,100,103,98,97,104,104,104,118,85,84,2024-2026
All,1,3,2026,All,5,Progressive Field,114,Guardians,39531,96,96,98,99,99,99,99,99,105,102,99,97,97,103,51,96,2024-2026
All,1,3,2026,All,17,Wrigley Field,112,Cubs,40576,90,101,95,99,95,99,99,96,103,101,95,94,96,80,117,98,2024-2026
All,1,3,2026,All,1,Angel Stadium,108,Angels,38734,102,99,101,101,102,98,98,100,105,102,101,98,98,92,95,109,2024-2026
All,1,3,2026,All,3313,Yankee Stadium,147,Yankees,42792,102,105,101,104,100,103,100,101,102,118,98,94,91,90,70,118,2024-2026
All,1,3,2026,All,5325,Globe Life Field,140,Rangers,38203,85,101,92,97,92,98,98,93,103,96,92,93,95,89,78,89,2024-2026
All,1,3,2026,All,2602,Great American Ball Park,113,Reds,38844,104,94,102,103,103,99,100,101,102,106,101,100,96,102,67,119,2024-2026
All,1,3,2026,All,2,Oriole Park at Camden Yards,110,Orioles,40031,106,105,103,101,105,103,101,101,99,91,104,105,104,103,122,113,2024-2026
All,1,3,2026,All,19,Coors Field,115,Rockies,39888,125,100,112,103,112,100,102,111,90,99,113,118,118,120,186,107,2024-2026
All,1,3,2026,All,3312,Target Field,142,Twins,39812,108,100,104,100,104,101,100,104,98,99,105,104,104,113,79,97,2024-2026
All,1,3,2026,All,2395,Oracle Park,137,Giants,39364,94,97,97,96,97,97,98,98,97,93,99,101,104,108,138,76,2024-2026
All,1,3,2026,All,4169,loanDepot park,146,Marlins,40831,100,100,100,99,99,100,100,101,96,100,100,101,102,106,133,88,2024-2026
All,1,3,2026,All,2681,Citizens Bank Park,143,Phillies,40117,104,99,102,101,104,98,99,100,103,95,103,102,103,94,95,115,2024-2026
All,1,3,2026,All,4705,Truist Park,144,Braves,39373,100,101,100,98,102,102,102,101,105,100,103,102,106,95,88,96,2024-2026
All,1,3,2026,All,14,Rogers Centre,141,Blue Jays,41224,104,101,102,103,101,101,100,101,96,99,99,102,100,104,76,110,2024-2026
All,1,3,2026,All,12,Tropicana Field,139,Rays,20221,92,92,96,98,96,98,98,96,105,96,96,95,97,85,131,97,2024-2026
All,1,3,2026,All,2392,Daikin Park,117,Astros,38819,102,99,101,101,103,99,99,100,106,101,102,99,98,96,73,115,2024-2026
All,1,3,2026,All,2394,Comerica Park,116,Tigers,39196,102,99,101,101,101,99,99,100,97,99,100,101,100,94,154,105,2024-2026
All,1,3,2026,All,4,Rate Field,145,White Sox,39170,98,96,99,100,97,98,98,100,97,106,98,97,100,94,77,94,2024-2026
All,1,3,2026,All,2680,Petco Park,135,Padres,39763,94,99,97,100,98,101,100,97,102,99,97,96,97,90,69,108,2024-2026
All,1,3,2026,All,7,Kauffman Stadium,118,Royals,38752,100,104,100,99,97,102,102,100,91,99,98,102,100,117,184,82,2024-2026
All,1,3,2026,All,15,Chase Field,109,D-backs,40071,110,103,105,101,103,102,103,104,91,99,103,106,103,118,208,93,2024-2026
All,1,3,2026,All,31,PNC Park,134,Pirates,39902,100,102,100,97,98,100,101,101,97,99,100,101,102,117,79,77,2024-2026
All,1,3,2026,All,2889,Busch Stadium,138,Cardinals,38182,94,102,97,98,95,98,99,99,90,93,97,102,106,107,79,80,2024-2026
All,1,3,2026,All,22,UNIQLO Field at Dodger Stadium,119,Dodgers,42312,104,101,102,105,102,103,102,99,100,103,98,98,93,93,70,130,2024-2026
All,1,3,2026,All,32,American Family Field,158,Brewers,40612,96,96,98,100,100,98,99,98,109,104,99,95,95,86,96,107,2024-2026
All,1,3,2026,All,3289,Citi Field,121,Mets,41076,98,101,99,101,98,101,100,100,103,108,97,95,95,93,85,103,2024-2026
