"﻿""last_name"," first_name""",player_id,year,pa,k_percent,bb_percent,woba,xwoba,barrel_batted_rate,hard_hit_percent,exit_velocity_avg,whiff_percent
"Paez, Jedixson",699151,2026,16,0,18.8,.508,.494,23.1,46.2,95.3,16.7,
"Sheehan, Emmet",686218,2026,86,20.9,9.3,.363,.344,8.3,38.3,87.1,29.3,
"Jacob, Alek",689690,2026,9,33.3,11.1,.304,.343,25,50,92.4,47.1,
"Quintana, Jose",500779,2026,62,6.5,14.5,.405,.417,14.3,34.7,88.6,20,
"Svanson, Matt",694335,2026,67,16.4,16.4,.430,.425,6.8,56.8,93.3,16.5,
"Rutledge, Jackson",671131,2026,12,16.7,16.7,.664,.420,12.5,37.5,85.2,34.8,
"Taillon, Jameson",592791,2026,95,22.1,9.5,.353,.334,12.5,32.8,88.2,29.2,
"Walker, Taijuan",592836,2026,115,14.8,9.6,.464,.406,12.8,36,87.5,16.8,
"Miller, Erik",669062,2026,37,35.1,13.5,.323,.238,5.3,26.3,85.9,37.1,
"Romero, JoJo",668941,2026,48,12.5,8.3,.285,.353,5.4,37.8,89.9,11.7,
"Burke, Brock",656271,2026,45,28.9,8.9,.258,.290,10.7,39.3,89,35.6,
"Teng, Kai-Wei",678906,2026,61,26.2,9.8,.213,.269,2.6,38.5,89.2,22.5,
"Sands, Cole",663485,2026,43,23.3,9.3,.290,.306,3.4,51.7,94.4,22.7,
"Sale, Chris",519242,2026,115,25.2,6.1,.294,.284,7.9,30.3,87.6,24.7,
"Lawrence, Justin",664875,2026,55,27.3,9.1,.375,.384,15.2,42.4,91,27.8,
"Faucher, Calvin",676534,2026,39,30.8,20.5,.305,.335,10.5,52.6,91.7,30.4,
"Perkins, Jack",678022,2026,41,29.3,7.3,.306,.319,4.2,41.7,87.2,36.5,
"Lugo, Seth",607625,2026,116,24.1,8.6,.232,.316,9,39.7,90.4,22.5,
"Webb, Jacob",657097,2026,48,22.9,12.5,.438,.404,6.5,54.8,93.6,31.9,
"Gil, Luis",661563,2026,65,13.8,12.3,.335,.358,10.9,47.8,92.7,21.9,
"Anderson, Drew",623454,2026,54,18.5,13,.379,.379,8.3,38.9,89.3,24,
"Leasure, Jordan",673929,2026,47,19.1,10.6,.314,.410,24.2,42.4,90.8,23,
"Holmes, Grant",656550,2026,107,19.6,10.3,.266,.300,5.3,40,89.3,31.1,
"Montgomery, Mason",682254,2026,44,43.2,11.4,.352,.303,15,45,89.2,35.4,
"Smith, Shane",681343,2026,49,22.4,18.4,.432,.335,0,33.3,82.2,26,
"Roberts, Ethan",681799,2026,10,20,0,.239,.357,0,66.7,98,16.7,
"Pfaadt, Brandon",694297,2026,97,14.4,8.2,.323,.317,9.5,36.5,87.8,22.2,
"Hoffmann, Andrew",694851,2026,43,25.6,14,.316,.329,8,44,90.5,20,
"Legumina, Casey",668984,2026,53,17,5.7,.397,.352,10.5,55.3,93.4,20,
"Finnegan, Kyle",640448,2026,43,11.6,18.6,.263,.275,3.3,30,85.2,22.2,
"Williams, Devin",642207,2026,41,31.7,14.6,.482,.348,13.6,36.4,90.6,35,
"Scholtens, Jesse",669947,2026,62,21,4.8,.289,.328,6.8,38.6,87.9,23.1,
"Cruz, Steven",674444,2026,26,26.9,15.4,.529,.396,26.7,33.3,87.5,30,
"Freeland, Kyle",607536,2026,67,19.4,6,.292,.314,2.2,41.3,89,26.6,
"Zeferjahn, Ryan",666171,2026,52,26.9,11.5,.300,.246,3.2,29,86.9,31.3,
"Zerpa, Angel",672582,2026,51,13.7,9.8,.413,.417,7.7,51.3,92.8,16.7,
"Urquidy, José",664353,2026,36,16.7,5.6,.493,.314,7.1,42.9,89.2,27.4,
"Morejon, Adrian",670970,2026,56,23.2,3.6,.312,.300,2.4,29.3,84.1,36.3,
"Gray, Sonny",543243,2026,99,13.1,5.1,.331,.369,11.3,37.5,88.1,18.6,
"Foster, Cameron",671382,2026,21,28.6,19,.412,.294,0,18.2,82.5,34.1,
"Hurt, Kyle",669165,2026,12,41.7,0,.213,.215,0,16.7,84.7,50,
"Márquez, Germán",608566,2026,79,19,7.6,.373,.366,12.1,51.7,88.7,23.6,
"Bido, Osvaldo",674370,2026,54,14.8,16.7,.379,.355,8.6,45.7,90.3,22.2,
"Bassitt, Chris",605135,2026,108,9.3,12,.413,.385,3.7,35.4,87.5,20,
"Gordon, Tanner",685299,2026,36,27.8,11.1,.443,.327,13.6,31.8,87.7,27.1,
"Backhus, Kyle",679775,2026,33,30.3,3,.341,.277,9.1,31.8,90.5,17.2,
"Mize, Casey",663554,2026,117,27.4,8.5,.288,.287,8.1,44.6,88.9,27.5,
"Glasnow, Tyler",607192,2026,120,31.7,5.8,.204,.236,5.3,38.7,90.8,29.6,
"Mayza, Tim",641835,2026,53,24.5,9.4,.270,.271,5.9,44.1,88.7,24.7,
"Morgan, David",688158,2026,59,23.7,16.9,.377,.300,3,24.2,84.8,29.2,
"Henderson, Logan",701656,2026,9,33.3,11.1,.423,.272,0,40,88,31.6,
"Dodd, Dylan",689266,2026,16,25,6.3,.207,.242,0,27.3,88.8,19.2,
"McGreevy, Michael",700241,2026,105,14.3,4.8,.270,.395,14.1,36.5,87.9,14.1,
"Eflin, Zach",621107,2026,17,41.2,11.8,.389,.308,25,75,99.1,35.3,
"Nunez, Anthony",689296,2026,46,32.6,4.3,.214,.247,10.3,34.5,85.4,35.6,
"Sproat, Brandon",687075,2026,95,21.1,13.7,.394,.358,9.7,45.2,90.4,22.9,
"Brazobán, Huascar",623211,2026,45,22.2,4.4,.248,.291,3,33.3,86,27,
"Lucchesi, Joey",664192,2026,16,12.5,25,.474,.398,11.1,66.7,94.1,11.5,
"Weissert, Greg",669711,2026,43,34.9,9.3,.338,.334,13,39.1,89.8,25.6,
"Milner, Hoby",571948,2026,49,6.1,8.2,.279,.365,5,30,87.7,10.7,
"Rogers, Taylor",573124,2026,38,18.4,10.5,.333,.364,7.4,37,89.7,22.1,
"Lowder, Rhett",695076,2026,118,15.3,7.6,.271,.321,7.7,34.1,89.8,19.7,
"Curvelo, Luis",681168,2026,21,14.3,4.8,.410,.328,11.8,47.1,91.3,26.3,
"Feltner, Ryan",663372,2026,88,19.3,9.1,.393,.390,15.9,49.2,89.5,25.5,
"Bummer, Aaron",607481,2026,31,19.4,9.7,.331,.382,14.3,52.4,90.5,22.6,
"Smith, Burch",572143,2026,6,16.7,16.7,.323,.385,0,25,90,16.7,
"Gómez, Yoendrys",672782,2026,74,16.2,13.5,.397,.437,15.7,39.2,88.9,21,
"Bello, Brayan",678394,2026,92,14.1,13,.393,.400,11.9,35.8,88.5,33.3,
"Taylor, Grant",691799,2026,55,34.5,7.3,.277,.246,9.4,43.8,90,27.4,
"Mejia, Juan",675848,2026,56,19.6,8.9,.390,.347,2.6,41,90.1,26.3,
"Peralta, Freddy",642547,2026,112,25,8.9,.282,.315,6.9,41.7,88.7,30.2,
"Morris, Andrew",702193,2026,34,23.5,5.9,.368,.271,0,33.3,88.2,25.6,
"Gray, Peyton",682608,2026,3,33.3,0,.000,.099,0,50,94,60,
"Wells, Tyler",669330,2026,60,26.7,6.7,.332,.313,7.7,30.8,89.8,33.9,
"Speier, Gabe",642100,2026,41,22,7.3,.334,.319,10.7,25,85.1,25,
"Dreyer, Jack",676263,2026,40,27.5,10,.286,.298,12,48,90.5,23.9,
"Griffin, Foster",656492,2026,111,19.8,7.2,.325,.336,12.5,40,89.8,23.1,
"Beeter, Clayton",690925,2026,46,19.6,17.4,.271,.342,10.7,53.6,91.6,22.1,
"Imai, Tatsuya",837227,2026,44,29.5,25,.347,.321,0,36.8,85.8,35.1,
"Bolton, Cody",675989,2026,39,28.2,17.9,.349,.324,5,40,91,23,
"Early, Connelly",813349,2026,107,22.4,12.1,.313,.371,13.4,40.3,91.6,23,
"Halvorsen, Seth",678020,2026,4,50,25,.178,.352,0,100,95.5,20,
"Ribalta, Orlando",687377,2026,6,16.7,0,.151,.167,0,20,72.1,23.5,
"Parker, Mitchell",680730,2026,29,24.1,3.4,.316,.279,9.5,47.6,89.2,34.8,
"Kirby, George",669923,2026,129,20.9,6.2,.282,.274,5.4,47.3,91.3,19.8,
"Phillips, Tyler",663969,2026,63,28.6,14.3,.255,.304,11.4,45.7,90.9,36.6,
"Cantillo, Joey",676282,2026,103,29.1,11.7,.328,.307,11.7,43.3,90.4,28.3,
"Borucki, Ryan",621366,2026,34,23.5,5.9,.401,.310,8.3,45.8,85.5,38.8,
"Fernandez, Ryan",681676,2026,20,25,10,.407,.313,0,38.5,82.8,37.1,
"Harvey, Hunter",640451,2026,18,22.2,5.6,.423,.345,23.1,38.5,93.2,20,
"Orze, Eric",679358,2026,40,20,10,.294,.266,0,32.1,86,25,
"Javier, Cristian",664299,2026,48,8.3,18.8,.467,.407,12.1,36.4,89.6,22,
"Stanek, Ryne",592773,2026,54,25.9,18.5,.417,.356,10.3,55.2,94.8,38,
"Mears, Nick",683232,2026,35,17.1,11.4,.298,.344,12,52,90.5,21,
"Uribe, Abner",682842,2026,39,25.6,7.7,.304,.307,7.7,38.5,88.6,22.8,
"Holderman, Colin",670059,2026,14,21.4,14.3,.316,.386,22.2,77.8,92.1,28,
"Schultz, Paxton",687606,2026,35,20,2.9,.358,.388,16,40,91.1,21.1,
"Adam, Jason",592094,2026,19,10.5,5.3,.267,.275,6.7,20,81.2,31.4,
"Barco, Hunter",682995,2026,37,13.5,18.9,.457,.409,8.3,41.7,89.2,13.2,
"Manaea, Sean",640455,2026,70,17.1,10,.339,.355,11.8,41.2,89.6,19.5,
"Ohtani, Shohei",660271,2026,92,27.2,6.5,.197,.227,3.3,35,86.5,32.4,
"Brown, Ben",676962,2026,77,26,7.8,.257,.274,3.9,35.3,90.2,26.2,
"Nardi, Andrew",677053,2026,37,27,13.5,.355,.359,13.6,50,89.7,30.9,
"Sánchez, Cristopher",650911,2026,153,28.1,6.5,.353,.290,11,42,89.4,31.4,
"Ramírez, Yohan",670990,2026,69,24.6,13,.267,.281,4.8,33.3,85.6,29.4,
"Quantrill, Cal",615698,2026,16,31.3,12.5,.363,.316,22.2,55.6,94.7,26.3,
"Warren, Austin",681810,2026,7,57.1,0,.483,.241,33.3,66.7,97,53.3,
"Henriquez, Edgardo",683618,2026,30,26.7,10,.360,.307,5.6,16.7,84.3,27.3,
"Barlow, Scott",605130,2026,48,22.9,14.6,.300,.309,3.4,31,87.3,39.5,
"Laweryson, Cody",689520,2026,26,30.8,7.7,.246,.301,0,42.9,89.5,17.5,
"Morales, Luis",806960,2026,42,11.9,19,.565,.478,14.3,46.4,90.8,16.9,
"Suarez, Robert",663158,2026,40,27.5,2.5,.199,.247,0,35.7,88.1,26.8,
