﻿"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Sale, Chris",519242,2026,115,25.2,6.1,".294",".284",28.9,7.9,30.3,"77.176300789","93.225896447",24.7,49.5
"Lugo, Seth",607625,2026,116,24.1,8.6,".232",".316",39.7,9,39.7,"80.993138974","94.263470649",22.5,47.7
"Mize, Casey",663554,2026,117,27.4,8.5,".288",".287",28.4,8.1,44.6,"77.291063784","94.66694411",27.5,45.6
"Glasnow, Tyler",607192,2026,120,31.7,5.8,".204",".236",30.7,5.3,38.7,"82.905149211","93.766198267",29.6,44.3
"McGreevy, Michael",700241,2026,105,14.3,4.8,".270",".395",35.3,14.1,36.5,"75.179759524","94.428338795",14.1,43.1
"Lowder, Rhett",695076,2026,118,15.3,7.6,".271",".321",35.2,7.7,34.1,"80.557471591","93.674965402",19.7,44.4
"Kirby, George",669923,2026,129,20.9,6.2,".282",".274",20.4,5.4,47.3,"81.20209913","95.192059891",19.8,52.4
"Sánchez, Cristopher",650911,2026,153,28.1,6.5,".353",".290",31,11,42,"78.0438368","94.4896664",31.4,50.2
"Keller, Mitch",656605,2026,115,16.5,7.8,".270",".300",31.4,2.3,38.4,"72.941416279","93.618135",21.2,46.1
"Rodriguez, Eduardo",593958,2026,120,15,10,".309",".349",35.6,6.7,37.8,"80.160240889","94.136191222",16.9,41.9
"Hancock, Emerson",676106,2026,105,26.7,3.8,".283",".313",29.2,12.5,36.1,"80.159725429","94.293868429",23.6,54.7
"Ryan, Joe",657746,2026,132,25,6.1,".282",".277",29.2,11.2,36,"76.6324075","93.9966325",24.5,50.6
"Suarez, Ranger",624133,2026,107,17.8,7.5,".292",".350",42.5,10,42.5,"76.4261175","94.679452375",17.1,45.4
"Kochanowicz, Jack",686799,2026,122,15.6,13.9,".268",".358",31.8,8.2,42.4,"80.7023305","95.150725125",22.8,44.8
"Roupp, Landen",694738,2026,110,28.2,10.9,".237",".262",38.5,0,23.8,"74.913991613","92.054025968",25.4,42
"Bubic, Kris",663460,2026,113,25.7,11.5,".292",".343",43.7,11.3,39.4,"80.155093429","94.184508571",29.5,46.9
"Yamamoto, Yoshinobu",808967,2026,123,22.8,4.1,".259",".304",34.8,9,34.8,"76.949432273","93.844602414",29.6,49.6
"Valdez, Framber",664285,2026,127,15.7,7.1,".276",".290",26.8,4.1,41.2,"77.975063061","94.371876495",17.6,49.6
"Ashcraft, Braxton",677952,2026,116,27.6,7.8,".257",".231",27,4.1,31.1,"79.189124167","93.591960556",30.9,47.6
"Weathers, Ryan",677960,2026,116,31,6.9,".320",".340",38.9,12.5,43.1,"74.205893333","95.411586901",27.4,45.7
"Martin, Davis",663436,2026,118,22,5.9,".286",".340",38.1,7.1,51.2,"82.159430732","95.598430122",22.2,46.5
"Webb, Logan",657277,2026,161,19.9,8.1,".318",".333",30.1,6.2,49.6,"80.352851786","95.505422054",20.1,46.6
"Gausman, Kevin",592332,2026,113,31,5.3,".243",".284",34.7,9.7,38.9,"72.757735278","94.900877887",31,52.8
"Junk, Janson",676083,2026,110,15.5,6.4,".295",".299",25,4.8,40.5,"81.496932439","94.619648395",21,48.3
"Baz, Shane",669358,2026,126,18.3,7.9,".377",".329",38.5,6.6,38.5,"78.598933696","93.791749451",23.7,47.5
"Alcantara, Sandy",645261,2026,140,16.4,8.6,".261",".271",19.2,4.8,37.5,"78.816615294","93.804297941",26.5,47.8
"Springs, Jeffrey",605488,2026,116,23.3,7.8,".269",".281",30,8.8,31.3,"75.20485625","92.764203375",27,43.2
"Imanaga, Shota",684007,2026,108,29.6,5.6,".219",".250",32.9,7.1,42.9,"80.19874","93.988267714",30.4,52.4
"Cabrera, Edward",665795,2026,119,18.5,9.2,".287",".307",33.7,10.5,37.2,"81.400648095","94.723497143",24.9,46.5
"Liberatore, Matthew",669461,2026,117,13.7,8.5,".344",".342",35.2,7.7,40.7,"81.16161","94.416356222",18.1,46
"King, Michael",650633,2026,112,23.2,12.5,".283",".325",34.3,10.4,37.3,"78.803842727","94.015006818",26.9,44.9
"Burns, Chase",695505,2026,111,27,9.9,".272",".299",21.4,10,42,"78.370831471","94.349777015",32.5,48.1
"Soroka, Michael",647336,2026,115,29.6,6.1,".306",".338",45.1,12.7,43.7,"80.937789143","94.579422429",23.5,49.1
"Gilbert, Logan",669302,2026,136,25.7,5.1,".343",".308",39.1,7.6,46.7,"81.537787391","94.880751099",30.5,47.6
"Bradley, Taj",671737,2026,118,28.8,8.5,".277",".290",48.6,4.2,45.8,"86.011925278","95.398670833",26.6,46.5
"Fried, Max",608331,2026,156,20.5,6.4,".206",".243",26.8,2.7,30.4,"74.870581786","92.934445225",22.7,44.3
"Williams, Gavin",668909,2026,115,34.8,14.8,".258",".300",27.6,13.8,48.3,"82.537418966","96.092302931",32.2,45.6
"Messick, Parker",800048,2026,113,25.7,7.1,".233",".285",29.3,2.7,29.3,"75.307337297","93.150384324",25.4,50
"McLean, Nolan",690997,2026,114,33.3,7,".213",".224",34.3,6,29.9,"73.906532647","92.976751194",27.3,41.2
"Vásquez, Randy",681190,2026,114,26.3,7,".283",".329",35.1,13.5,41.9,"78.763527027","94.892165068",28.6,49.9
