"Path","SizeKB","Modified","Category","Decision","Notes"
".agent_tasks\done\phase_1_core_analytics.md","0.9","2026-03-20","","",""
".agent_tasks\done\phase_2_trading.md","0.7","2026-03-20","","",""
".agent_tasks\done\phase_3_tournament.md","1","2026-03-20","","",""
".agent_tasks\done\phase_4_mobile_pwa.md","1.8","2026-03-23","","",""
".agent_tasks\done\phase_5_polish.md","1.7","2026-03-23","","",""
".agent_tasks\oracle_validation.md","1.4","2026-03-20","","",""
".agent_tasks\README.md","0.9","2026-03-20","","",""
".agent_tasks\v9_2_recalibration.md","1.6","2026-03-20","","",""
".claude\agents\cbb-architect.md","0.6","2026-03-04","","",""
".claude\commands\emac.md","0.4","2026-03-04","","",""
".claude\rules\workflow.md","2.9","2026-03-04","","",""
".claude\skills\cbb-identity\SKILL.md","0.8","2026-03-04","","",""
".claude\skills\emac-protocol\SKILL.md","0.7","2026-03-04","","",""
".claude\DISCORD_ERRORS_EXPLAINED.md","2.8","2026-03-07","","",""
".gemini\skills\db-migrate\SKILL.md","1.7","2026-03-25","","",""
".gemini\skills\env-check\SKILL.md","2.2","2026-03-25","","",""
".gemini\skills\health-check\SKILL.md","1.7","2026-03-25","","",""
".gemini\skills\railway-logs\SKILL.md","1.6","2026-03-25","","",""
".openclaw\active-task.md","1.4","2026-03-06","","",""
".openclaw\AUDIT_REPORT_2026-03-11.md","8.8","2026-03-11","","",""
".openclaw\IMPROVEMENTS_SUMMARY.md","8.1","2026-03-11","","",""
".openclaw\README.md","9.7","2026-03-11","","",""
".openclaw\TROUBLESHOOTING.md","8.4","2026-03-11","","",""
"data\projections\README.md","0.1","2026-03-09","","",""
"docs\archive\cheatsheet.md","2.6","2026-03-20","","",""
"docs\archive\CLAUDE.md","17.6","2026-03-28","","",""
"docs\archive\IMPLEMENTATION.md","8.7","2026-03-20","","",""
"docs\archive\QUICKSTART.md","6.3","2026-03-20","","",""
"docs\archive\README.md","1.4","2026-03-20","","",""
"docs\archive\SETUP_FROM_SCRATCH.md","14.9","2026-03-20","","",""
"docs\archive\SKILL.md","1.1","2026-03-04","","",""
"docs\archive\WINDOWS_SETUP.md","8.8","2026-03-20","","",""
"docs\reference\AGENT_TEAM_BEST_PRACTICES.md","12.9","2026-03-20","","",""
"docs\reference\README.md","0.6","2026-03-20","","",""
