team,p_round_of_32,p_sweet_sixteen,p_elite_eight,p_final_four,p_runner_up,p_championship
Duke,0.8378,0.652,0.4592,0.4592,0.117,0.1977
Michigan,0.8409,0.6562,0.4547,0.4547,0.1183,0.1697
Arizona,0.8193,0.6192,0.4236,0.4236,0.1056,0.1313
Florida,0.8008,0.6025,0.4069,0.4069,0.099,0.1198
UConn,0.7171,0.4607,0.223,0.223,0.0602,0.0621
Iowa State,0.7311,0.4805,0.2356,0.2356,0.0648,0.0584
Purdue,0.6918,0.4494,0.2326,0.2326,0.0603,0.0515
Houston,0.6833,0.4396,0.2288,0.2288,0.0576,0.0424
Michigan State,0.6141,0.3282,0.1388,0.1388,0.0424,0.0275
Virginia,0.6141,0.3156,0.131,0.131,0.036,0.0236
Gonzaga,0.6064,0.3144,0.1384,0.1384,0.0366,0.0229
Illinois,0.5746,0.3036,0.1313,0.1313,0.0308,0.0184
Alabama,0.5214,0.175,0.0807,0.0807,0.0214,0.013
Kansas,0.4978,0.1718,0.0755,0.0755,0.0207,0.0118
Nebraska,0.4836,0.18,0.0843,0.0843,0.019,0.0099
Arkansas,0.501,0.184,0.0824,0.0824,0.0211,0.0092
Wisconsin,0.36,0.1132,0.0442,0.0442,0.0093,0.0039
Vanderbilt,0.3677,0.1184,0.0519,0.0519,0.0101,0.0039
St. John's,0.3601,0.1038,0.0361,0.0361,0.0095,0.0037
Louisville,0.2626,0.0931,0.0227,0.0227,0.0053,0.0028
Texas Tech,0.3471,0.0991,0.0359,0.0359,0.0082,0.0026
Tennessee,0.2593,0.0912,0.025,0.025,0.0053,0.0026
North Carolina,0.2822,0.1118,0.0383,0.0383,0.0056,0.0023
BYU,0.2579,0.0966,0.0294,0.0294,0.0049,0.0019
Kentucky,0.1668,0.0625,0.0121,0.0121,0.0025,0.001
UCLA,0.1772,0.0677,0.0184,0.0184,0.0038,0.0007
Miami,0.1872,0.0775,0.0195,0.0195,0.0035,0.0007
St. Mary's,0.1948,0.075,0.0211,0.0211,0.0043,0.0006
Clemson,0.1078,0.0441,0.0135,0.0135,0.002,0.0006
Villanova,0.1002,0.0368,0.0099,0.0099,0.0013,0.0006
Ohio State,0.0878,0.0312,0.0086,0.0086,0.0022,0.0006
Utah State,0.073,0.0253,0.007,0.007,0.0012,0.0006
TCU,0.0678,0.0234,0.0061,0.0061,0.0006,0.0004
Georgia,0.0849,0.0318,0.0088,0.0088,0.0014,0.0004
St. Louis,0.0675,0.0211,0.0051,0.0051,0.0007,0.0003
Hawaii,0.0583,0.0077,0.0014,0.0014,0.0002,0.0001
Iowa,0.0846,0.0314,0.0084,0.0084,0.0007,0.0001
Texas/NC State,0.09,0.0218,0.0035,0.0035,0.0005,0.0001
Furman,0.0247,0.0053,0.0008,0.0008,0.0001,0.0001
Miami OH/SMU,0.0875,0.0194,0.0037,0.0037,0.0008,0.0001
McNeese,0.0848,0.0145,0.0028,0.0028,0.0001,0.0001
Troy,0.0639,0.0084,0.0015,0.0015,0.0002,0
Kennesaw State,0.0457,0.0097,0.0006,0.0006,0,0
Cal Baptist,0.0598,0.0061,0.0009,0.0009,0.0003,0
Idaho,0.0308,0.0065,0.0007,0.0007,0,0
High Point,0.0807,0.0126,0.0032,0.0032,0.0002,0
Wright State,0.0391,0.0066,0.0005,0.0005,0,0
VCU,0.096,0.0239,0.0046,0.0046,0.0005,0
South Florida,0.0853,0.0181,0.0029,0.0029,0.0004,0
LIU,0.0075,0.0012,0.0001,0.0001,0,0
UCF,0.081,0.0213,0.0048,0.0048,0.0013,0
North Dakota State,0.038,0.0056,0.0004,0.0004,0,0
Missouri,0.094,0.026,0.0039,0.0039,0.0007,0
Akron,0.0768,0.0097,0.0022,0.0022,0.0002,0
Siena,0.0066,0.001,0.0002,0.0002,0,0
Tennessee State,0.0259,0.0042,0.0003,0.0003,0.0001,0
Queens,0.027,0.0046,0.0003,0.0003,0,0
Hofstra,0.0547,0.0065,0.0009,0.0009,0,0
Prairie View/Lehigh,0.0068,0.0007,0,0,0,0
UMBC/Howard,0.0067,0.0006,0,0,0,0
Penn,0.0472,0.0103,0.0009,0.0009,0.0001,0
Santa Clara,0.0762,0.02,0.0035,0.0035,0.0004,0
Texas A&M,0.0911,0.0293,0.005,0.005,0.0005,0
Northern Iowa,0.0823,0.0107,0.0016,0.0016,0.0002,0
